file_name,trackName,Key,Bpm
spotify-track-2VXO4kj9yCrGx5EN7OnTZl_fade_out.mp3,spotify-track-2VXO4kj9yCrGx5EN7OnTZl,,85.99
spotify-track-2nwHN5TM4OBdrwCUSx0wnE_fade_out.mp3,spotify-track-2nwHN5TM4OBdrwCUSx0wnE,,92.0
spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8_fade_in.mp3,spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8,,82.84
spotify-track-1jkB8ZDmxAnyoINUP3ly7H_looped_segment.wav,spotify-track-1jkB8ZDmxAnyoINUP3ly7H,,
spotify-track-0m7gPCedkIXKxWzdjjAirb_fade_out.mp3,spotify-track-0m7gPCedkIXKxWzdjjAirb,,
spotify-track-0NLCproVurQVarImbC5coP_fade_out.mp3,spotify-track-0NLCproVurQVarImbC5coP,,93.93
spotify-track-0XZo5RtHQbNIuQqMm7ZXuz_drums_looped_segment.wav,spotify-track-0XZo5RtHQbNIuQqMm7ZXuz,,88.16
spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8_looped_segment.wav,spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8,,82.84
spotify-track-0O8zNbJNEDg9x3S0hZvRMu_fade_in.mp3,spotify-track-0O8zNbJNEDg9x3S0hZvRMu,,83.96
spotify-track-01rVVCdnNxpr7NgdIagICL_other_looped_segment.wav,spotify-track-01rVVCdnNxpr7NgdIagICL,,84.88
spotify-track-2yNzGnCEoATsZfnRuz1ucq_fade_in.mp3,spotify-track-2yNzGnCEoATsZfnRuz1ucq,,0.0
spotify-track-2mnaWh59yEAs00Jh63oBxO_looped_segment.wav,spotify-track-2mnaWh59yEAs00Jh63oBxO,,90.0
spotify-track-0HlMshB5JmZjPNbOuOgFHN_looped_segment.wav,spotify-track-0HlMshB5JmZjPNbOuOgFHN,,93.93
spotify-track-01rVVCdnNxpr7NgdIagICL_bass_looped_segment.wav,spotify-track-01rVVCdnNxpr7NgdIagICL,,84.88
spotify-track-0k5Nh4iu6jb91GyvqUZJC1_drums_looped_segment.wav,spotify-track-0k5Nh4iu6jb91GyvqUZJC1,,86.0
spotify-track-1zgTTXWby9R40Gj9rHgH8e_fade_out.mp3,spotify-track-1zgTTXWby9R40Gj9rHgH8e,,88.0
spotify-track-1pW2V0VEHJQPtU5dI9h4B3_looped_segment.wav,spotify-track-1pW2V0VEHJQPtU5dI9h4B3,,
spotify-track-0XZo5RtHQbNIuQqMm7ZXuz_other_looped_segment.wav,spotify-track-0XZo5RtHQbNIuQqMm7ZXuz,,88.16
spotify-track-2pIYt0YnQFXWJ1etjZFTD2_fade_in.mp3,spotify-track-2pIYt0YnQFXWJ1etjZFTD2,,86.0
spotify-track-0HlMshB5JmZjPNbOuOgFHN_bass_looped_segment.wav,spotify-track-0HlMshB5JmZjPNbOuOgFHN,,93.93
spotify-track-0PTEI0crqAI5I2F61FeJ6U_vocals_looped_segment.wav,spotify-track-0PTEI0crqAI5I2F61FeJ6U,,86.0
spotify-track-01rVVCdnNxpr7NgdIagICL_drums_looped_segment.wav,spotify-track-01rVVCdnNxpr7NgdIagICL,,84.88
spotify-track-0k5Nh4iu6jb91GyvqUZJC1_other_looped_segment.wav,spotify-track-0k5Nh4iu6jb91GyvqUZJC1,,86.0
spotify-track-0XZo5RtHQbNIuQqMm7ZXuz_bass_looped_segment.wav,spotify-track-0XZo5RtHQbNIuQqMm7ZXuz,,88.16
spotify-track-2mnaWh59yEAs00Jh63oBxO_fade_out.mp3,spotify-track-2mnaWh59yEAs00Jh63oBxO,,90.0
spotify-track-01rVVCdnNxpr7NgdIagICL_fade_out.mp3,spotify-track-01rVVCdnNxpr7NgdIagICL,,84.88
spotify-track-0NLCproVurQVarImbC5coP_vocals_looped_segment.wav,spotify-track-0NLCproVurQVarImbC5coP,,93.93
spotify-track-1bh78E6P230qD5OLLNnAqq_looped_segment.wav,spotify-track-1bh78E6P230qD5OLLNnAqq,,
spotify-track-0lCVzecQJrzrig2sJkTj6g_fade_out.mp3,spotify-track-0lCVzecQJrzrig2sJkTj6g,,91.99
