TrackID,Name,Artist,Album,Genre,Location,AverageBpm,Key
242008204,spotify-track-4FGSQLbxD03WY9PmTlURf2,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4FGSQLbxD03WY9PmTlURf2.mp3,0.0,
206090538,spotify-track-4FLpJyNMOWSOjfKfhAIGHS,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4FLpJyNMOWSOjfKfhAIGHS.mp3,0.0,
7742582,spotify-track-4gMX5Ny2JOVwKwxSQzK0D0,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4gMX5Ny2JOVwKwxSQzK0D0.mp3,0.0,
234799449,spotify-track-4h96j1LG3fBVyhkVD1krMq,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4h96j1LG3fBVyhkVD1krMq.mp3,0.0,
2203956,spotify-track-4iIQM2cjf1xoF0oG5T4IQh,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4iIQM2cjf1xoF0oG5T4IQh.mp3,0.0,
13199730,spotify-track-4IQnoSQTsX6E3mGXChO9w5,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4IQnoSQTsX6E3mGXChO9w5.mp3,0.0,
92101373,spotify-track-4lgrlMGTRW0aFEBi5bloWx,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4lgrlMGTRW0aFEBi5bloWx.mp3,0.0,
165076253,spotify-track-4mMEba2crsn753yhcFFBbB,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4mMEba2crsn753yhcFFBbB.mp3,0.0,
2238743,spotify-track-4N8HdqR5NAKiFrWz8wcje9,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4N8HdqR5NAKiFrWz8wcje9.mp3,0.0,
184744977,spotify-track-4oWenRIw2jFycLvJod7qVz,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4oWenRIw2jFycLvJod7qVz.mp3,0.0,
26954669,spotify-track-4pZxkiTIAC4DnOW71p1UQP,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4pZxkiTIAC4DnOW71p1UQP.mp3,0.0,
104202212,spotify-track-4QPzIOjgRjiJ5MkeJOQDv3,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4QPzIOjgRjiJ5MkeJOQDv3.mp3,0.0,
110179182,spotify-track-4sopapWBS3J9Ndzmxdb7hh,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-4sopapWBS3J9Ndzmxdb7hh.mp3,0.0,
261909483,spotify-track-5aBE8z8oYfaHhTZ6ekrP6u,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5aBE8z8oYfaHhTZ6ekrP6u.mp3,0.0,
211607681,spotify-track-5GJ89BB0DcOtySjc4qVJ5d,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5GJ89BB0DcOtySjc4qVJ5d.mp3,0.0,
97879895,spotify-track-5hIDmYCrX2be6ZolvvItJe,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5hIDmYCrX2be6ZolvvItJe.mp3,0.0,
157429649,spotify-track-5i7MT4Fhii176jDApnqLHb,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5i7MT4Fhii176jDApnqLHb.mp3,0.0,
214869782,spotify-track-5JwEF8nPkWp8hYpGuZonb2,,,,file://localhost/Users/hordia/dev/9216-TIMMD/music/sample_audio/Angeles Azules/spotify-track-5JwEF8nPkWp8hYpGuZonb2.mp3,0.0,
